nb_loan_number,nb_original_balance,nb_original_fico,nb_debt_ratio,nb_original_rate,nb_original_ltv,nb_original_cltv,nb_unit_count,nb_original_term,nb_io_term,nb_origination_date,nb_maturity_date,nb_purpose_code,nb_occupancy_code,nb_documentation_type_code,nb_property_type_code,nb_property_zip_code
135,202800,551,NULL,NULL,62.4,91.77,1,360,NULL,11/16/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,30576
136,145120,636,NULL,NULL,80,100,1,360,NULL,12/6/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,30116
137,123500,617,NULL,NULL,95,0,1,360,NULL,11/3/04,11/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,30161
138,111200,583,NULL,NULL,80,0,1,360,NULL,11/15/04,12/1/34,Purchase,Owner,AllDocs,PUD,30052
139,50000,679,NULL,NULL,79.37,0,1,360,NULL,11/23/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,Condo,30012
140,220000,664,NULL,NULL,80,0,1,360,60,12/8/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,30043
141,66750,630,NULL,NULL,75,0,1,360,NULL,11/17/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,SingleFamily,31404
142,50000,584,NULL,NULL,89.29,0,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,30161
143,100000,611,NULL,NULL,84.03,0,1,360,NULL,11/23/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,30680
144,51850,568,NULL,NULL,85,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,37096
145,118750,557,NULL,NULL,95,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,30157
146,180000,500,NULL,NULL,90,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,PUD,30039
147,123250,617,NULL,NULL,85,0,1,360,NULL,11/23/04,12/1/34,RefiWithCash,NotOwner,LimitedDocs,SingleFamily,30315
148,117128,651,NULL,NULL,80,100,1,360,60,11/30/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,30349
149,142200,751,NULL,NULL,90,0,1,360,NULL,11/23/04,12/1/34,Purchase,NotOwner,LimitedDocs,SingleFamily,30045
150,130400,653,NULL,NULL,80,100,1,360,NULL,11/30/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,30294
151,198000,761,NULL,NULL,90,0,4,360,NULL,11/29/04,12/1/34,RefiWithCash,NotOwner,AllDocs,Multi,30083
152,356150,675,NULL,NULL,85,0,1,360,60,12/22/04,1/1/35,RefiWithCash,Owner,LimitedDocs,SingleFamily,31522
153,80000,608,NULL,NULL,38.1,0,1,180,NULL,8/5/04,9/1/19,RefiWithCash,Owner,AllDocs,SingleFamily,44060
154,118750,602,NULL,NULL,95,0,1,360,NULL,10/4/04,10/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,43623
155,60000,533,NULL,NULL,64.52,0,3,360,NULL,10/1/04,11/1/34,RefiWithCash,NotOwner,AllDocs,Multi,15301
156,147600,677,NULL,NULL,90,0,1,360,NULL,9/27/04,10/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,45817
157,112000,634,NULL,NULL,80,100,1,360,NULL,11/30/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,41005
158,104240,636,NULL,NULL,80,100,1,360,NULL,11/5/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,15685
159,60210,648,NULL,NULL,89.96,0,1,360,NULL,11/29/04,12/1/34,Purchase,NotOwner,LimitedDocs,SingleFamily,44123
160,58500,581,NULL,NULL,90,0,1,360,NULL,11/15/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,16323
161,139200,620,NULL,NULL,80,100,1,360,NULL,11/19/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,44077
162,92000,655,NULL,NULL,80,100,1,360,NULL,11/30/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,48180
163,135600,682,NULL,NULL,80,100,1,360,NULL,11/19/04,12/1/34,Purchase,Owner,AllDocs,Condo,45242
164,76400,609,NULL,NULL,80,100,1,360,NULL,11/9/04,11/1/34,Purchase,Owner,AllDocs,SingleFamily,43614
165,50000,560,NULL,NULL,80,0,1,360,NULL,11/16/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,43968
166,68875,767,NULL,NULL,95,0,1,360,NULL,11/23/04,12/1/34,Purchase,NotOwner,AllDocs,SingleFamily,16509
167,170000,623,NULL,NULL,85,0,4,360,NULL,11/24/04,12/1/34,RefiWithCash,NotOwner,AllDocs,Multi,45223
168,55000,596,NULL,NULL,67.07,0,1,360,NULL,11/15/04,12/1/34,Purchase,Owner,LimitedDocs,SingleFamily,44055
169,108000,591,NULL,NULL,90,0,1,360,NULL,11/17/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,43227
170,84000,662,NULL,NULL,80,100,1,360,NULL,11/29/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,16314
171,129600,555,NULL,NULL,80,0,1,360,NULL,12/2/04,1/1/35,Purchase,Owner,AllDocs,SingleFamily,43551
172,80000,641,NULL,NULL,80,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,45150
173,161600,621,NULL,NULL,80,100,1,360,NULL,11/24/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,44147
174,110400,603,NULL,NULL,80,100,1,360,NULL,12/1/04,12/1/34,Purchase,Owner,AllDocs,SingleFamily,45157
175,99200,609,NULL,NULL,80,100,1,360,NULL,8/6/04,9/1/34,Purchase,Owner,AllDocs,PUD,33569
176,60400,719,NULL,NULL,80,0,1,360,NULL,8/12/04,9/1/34,Purchase,NotOwner,AllDocs,SingleFamily,32176
177,131992,547,NULL,NULL,80,0,1,360,NULL,8/25/04,9/1/34,Purchase,Owner,AllDocs,PUD,33544
178,125000,577,NULL,NULL,62.5,0,1,360,NULL,11/29/04,12/1/34,RefiWithCash,Owner,LimitedDocs,SingleFamily,34108
179,116000,587,NULL,NULL,80,0,1,360,NULL,10/18/04,11/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,33993
180,85000,NULL,NULL,NULL,51.83,0,1,360,NULL,11/24/04,12/1/34,RefiWithCash,Owner,AllDocs,SingleFamily,34116
