bor_credit_score,curr_int_rate,curr_upb,first_pay_date,first_time_hb_flag,loan_channel,loan_id,loan_product_type,loan_purpose,loan_state,maturity_date,numb_of_borr,numb_of_units,orig_dti,orig_int_rate,orig_loan_term,orig_ltv,orig_upb,property_occupancy,property_type,servicer_name
754,3.75,355000,9/1/16,NO,BROKER,5988031190,FRM,REFINANCE,CA,Aug-46,2,1,37,3.75,360,74,355000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
780,3.75,252500,9/1/16,NO,BROKER,5988031191,FRM,PURCHASE,CA,Aug-46,2,1,42,3.75,360,52,252500,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
802,3.5,363850,9/1/16,YES,BROKER,5988031192,FRM,PURCHASE,CA,Aug-46,1,1,45,3.5,360,95,363850,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
746,3.875,220000,9/1/16,NO,BROKER,5988031193,FRM,REFINANCE,CA,Aug-46,1,1,41,3.875,360,80,220000,PRINCIPAL,SF,CENTRALMORTGAGECOMPANY
788,3.625,315000,9/1/16,NO,BROKER,5988031194,FRM,REFINANCE,CA,Aug-46,1,1,50,3.625,360,35,315000,PRINCIPAL,PUD,CENTRALMORTGAGECOMPANY
751,3.75,304000,9/1/16,NO,RETAIL,5988031197,FRM,PURCHASE,TX,Aug-46,2,1,29,3.75,360,70,304000,PRINCIPAL,PUD,"PINGORALOANSERVICING,LLC"
685,3.5,54400,9/1/16,NO,RETAIL,5988031198,FRM,PURCHASE,TX,Aug-46,1,1,35,3.5,360,80,54400,SECOND,PUD,PENTAGONFEDERALCREDITUNION
759,3.5,75920,9/1/16,NO,RETAIL,5988031199,FRM,PURCHASE,FL,Aug-46,2,1,30,3.5,360,80,75920,SECOND,SF,PENTAGONFEDERALCREDITUNION
744,3.375,251750,8/1/16,YES,RETAIL,5988031200,FRM,PURCHASE,MD,Jul-46,1,1,43,3.375,360,95,251750,PRINCIPAL,SF,PENTAGONFEDERALCREDITUNION
790,3.375,200000,8/1/16,NO,RETAIL,5988031202,FRM,PURCHASE,FL,Jul-46,2,1,24,3.375,360,77,200000,SECOND,PUD,PENTAGONFEDERALCREDITUNION
796,3.5,92570.95,8/1/16,NO,RETAIL,5988031203,FRM,REFINANCE,CA,Jul-46,2,1,17,3.5,360,29,92570.95,PRINCIPAL,SF,PENTAGONFEDERALCREDITUNION
